Address,City,City,State,Name,URL,Program Details,School district,Image
1011 Vance Jackson Rd,"San Antonio, TX",San Antonio, TX,Pepperidge Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 9:30 a.m. to 10:00 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png
615 Vance Jackson Rd,"San Antonio, TX",San Antonio, TX,Fleetwood apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 10:10 a.m. to 10:40 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png
423 Vance Jackson Rd,"San Antonio, TX",San Antonio, TX,Tradewinds Villas Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 10:50 a.m. to 11:20 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png
315 Vance Jackson Rd,"San Antonio, TX",San Antonio, TX,Tarry Towne Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 11:30 a.m. to 12:00 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png
1400 Gardina,"San Antonio, TX",San Antonio, TX,Spring Wood Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 12:10 p.m. to 12:40 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png
1318 Gardina,"San Antonio, TX",San Antonio, TX,Gardina Court Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 12:50 p.m. to 1:20 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png
4325 NW Loop 410,"San Antonio, TX",San Antonio, TX,South Point Oaks Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 9:45 a.m. to 10:15 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png
3253 Hillcrest Dr,"San Antonio, TX",San Antonio, TX,Woods of Brookhollow Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 10:25 a.m. to 10:55 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png
3110 Hillcrest Dr # 105,"San Antonio, TX",San Antonio, TX,Dakota apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 11:05 a.m. to 11:35 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png
2903 Hillcrest Dr,"San Antonio, TX",San Antonio, TX,Trio apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 11:45 a.m. to 12:15 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png
1150 Babcock Rd,"San Antonio, TX",San Antonio, TX,Spanish keys apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 12:25 a.m. to 12:55 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png
801 Gentleman Rd,"San Antonio, TX",San Antonio, TX,Terrace House Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 1:00 p.m. to 1:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png
6222 S New Braunfels Ave,"San Antonio, TX",San Antonio, TX,Costa Almadena Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 9:45 a.m. to 10:15 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png
538 Hot Wells Blvd,"San Antonio, TX",San Antonio, TX,Robins Nest Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 10:25 a.m. to 10:55 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png
501 Koehler Ct,"San Antonio, TX",San Antonio, TX,Hillside Manor Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 11:05 a.m. to 11:35 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png
515 Riverside Dr,"San Antonio, TX",San Antonio, TX,Riverside Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 11:45 a.m. to 12:15 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png
927 VFW Blvd,"San Antonio, TX",San Antonio, TX,Mission Del Rio Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 12:25 p.m. to 12:55 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png
1600 Saltillo St,"San Antonio, TX",San Antonio, TX,Good Samaritan Center,https://www.saisd.net/page/article/227,Meals droped of by school bus from 9:45 a.m. to 10:15 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png
1938 S Zarzamora St,"San Antonio, TX",San Antonio, TX,San Juan Square Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 10:25 a.m. to 10:55 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png
2003 S Zarzamora St,"San Antonio, TX",San Antonio, TX,Gardens at San Juan Square Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 11:05 a.m. to 11:35 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png
2404 S Calaveras St,"San Antonio, TX",San Antonio, TX,San Juan Square 2 Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 11:45 a.m. to 12:15 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png
1901 S San Marcos,"San Antonio, TX",San Antonio, TX,Artisan at Creekside Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 12:25 p.m. to 12:55 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png
4618 Dietrich Rd,"San Antonio, TX",San Antonio, TX,Dietrich Rd Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 9:45 a.m. to 10:15 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png
4141 I-10 Frontage Rd,"San Antonio, TX",San Antonio, TX,Casa Pointe Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 10:25 a.m. to 10:55 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png
3735 E Commerce St,"San Antonio, TX",San Antonio, TX,The Palms/Edge Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 11:05 a.m. to 11:35 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png
1010 Locke St,"San Antonio, TX",San Antonio, TX,Park At Sutton Oaks Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 11:45 a.m. to 12:15 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png
2818 N IH-35,"San Antonio, TX",San Antonio, TX,Sutton Oaks Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 12:25 p.m. to 12:55 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png
1111 S. Navidad St.,"San Antonio, TX",San Antonio, TX,Barkley-Ruiz Elementary School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg
1411 W. Ashby Place,"San Antonio, TX",San Antonio, TX,Beacon Hill Elementary School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg
510 Morningview Drive,"San Antonio, TX",San Antonio, TX,Gates Elementary,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg
325 Pruitt Ave.,"San Antonio, TX",San Antonio, TX,Harris Middle School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg
1130 E. Sunshine Drive,"San Antonio, TX",San Antonio, TX,Longfellow Middle School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg
3000 Tampico St,"San Antonio, TX",San Antonio, TX,Rhodes Middle School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg
