Address,City,Name,URL,Program Details,School District,Image,Formatted Address,latlong,lat,long
1011 Vance Jackson Rd,"San Antonio, TX",Pepperidge Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 9:30 a.m. to 10:00 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"1011 Vance Jackson Rd, San Antonio, TX 78201, USA","29.4817465,-98.53527330000001",29.4817465,-98.5352733
615 Vance Jackson Rd,"San Antonio, TX",Fleetwood apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 10:10 a.m. to 10:40 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"615 Vance Jackson Rd, San Antonio, TX 78201, USA","29.4783248,-98.5352827",29.4783248,-98.5352827
423 Vance Jackson Rd,"San Antonio, TX",Tradewinds Villas Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 10:50 a.m. to 11:20 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"423 Vance Jackson Rd, San Antonio, TX 78201, USA","29.4775938,-98.53599039999999",29.4775938,-98.5359904
315 Vance Jackson Rd,"San Antonio, TX",Tarry Towne Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 11:30 a.m. to 12:00 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"315 Vance Jackson Rd, San Antonio, TX 78201, USA","29.4764242,-98.5358803",29.4764242,-98.5358803
1400 Gardina,"San Antonio, TX",Spring Wood Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 12:10 p.m. to 12:40 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"1400 Gardina, San Antonio, TX 78201, USA","29.4782497,-98.5376761",29.4782497,-98.5376761
1318 Gardina,"San Antonio, TX",Gardina Court Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 12:50 p.m. to 1:20 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"1318 Gardina, San Antonio, TX 78201, USA","29.479522,-98.535883",29.479522,-98.535883
4325 NW Loop 410,"San Antonio, TX",South Point Oaks Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 9:45 a.m. to 10:15 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"4325 Northwest Loop 410, San Antonio, TX 78229, USA","29.4900749,-98.56933219999999",29.4900749,-98.5693322
3253 Hillcrest Dr,"San Antonio, TX",Woods of Brookhollow Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 10:25 a.m. to 10:55 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"3253 Hillcrest Dr, San Antonio, TX 78201, USA","29.491022,-98.556023",29.491022,-98.556023
3110 Hillcrest Dr # 105,"San Antonio, TX",Dakota apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 11:05 a.m. to 11:35 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"3110 Hillcrest Dr #105, San Antonio, TX 78201, USA","29.4892884,-98.5555619",29.4892884,-98.5555619
2903 Hillcrest Dr,"San Antonio, TX",Trio apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 11:45 a.m. to 12:15 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"2903 Hillcrest Dr, San Antonio, TX 78201, USA","29.4860833,-98.5583461",29.4860833,-98.5583461
1150 Babcock Rd,"San Antonio, TX",Spanish keys apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 12:25 a.m. to 12:55 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"1150 Babcock Rd, Balcones Heights, TX 78201, USA","29.48400699999999,-98.55819179999999",29.484007,-98.5581918
801 Gentleman Rd,"San Antonio, TX",Terrace House Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 1:00 p.m. to 1:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"801 Gentleman Rd, Balcones Heights, TX 78201, USA","29.4893056,-98.5537114",29.4893056,-98.5537114
6222 S New Braunfels Ave,"San Antonio, TX",Costa Almadena Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 9:45 a.m. to 10:15 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"6222 S New Braunfels Ave, San Antonio, TX 78223, USA","29.3650328,-98.4581414",29.3650328,-98.4581414
538 Hot Wells Blvd,"San Antonio, TX",Robins Nest Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 10:25 a.m. to 10:55 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"538 Hot Wells Blvd, San Antonio, TX 78223, USA","29.367952,-98.45898190000001",29.367952,-98.4589819
501 Koehler Ct,"San Antonio, TX",Hillside Manor Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 11:05 a.m. to 11:35 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"501 Koehler Ct, San Antonio, TX 78223, USA","29.36705559999999,-98.4587058",29.3670556,-98.4587058
515 Riverside Dr,"San Antonio, TX",Riverside Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 11:45 a.m. to 12:15 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"515 Riverside Dr, San Antonio, TX 78223, USA","29.3743234,-98.47663700000001",29.3743234,-98.476637
927 VFW Blvd,"San Antonio, TX",Mission Del Rio Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 12:25 p.m. to 12:55 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"927 VFW Blvd, San Antonio, TX 78223, USA","29.3703843,-98.474515",29.3703843,-98.474515
1600 Saltillo St,"San Antonio, TX",Good Samaritan Center,https://www.saisd.net/page/article/227,Meals droped of by school bus from 9:45 a.m. to 10:15 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"1600 Saltillo St, San Antonio, TX 78207, USA","29.411504,-98.5388866",29.411504,-98.5388866
1938 S Zarzamora St,"San Antonio, TX",San Juan Square Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 10:25 a.m. to 10:55 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"1938 S Zarzamora St, San Antonio, TX 78207, USA","29.4058461,-98.52957699999999",29.4058461,-98.529577
2003 S Zarzamora St,"San Antonio, TX",Gardens at San Juan Square Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 11:05 a.m. to 11:35 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"2003 S Zarzamora St, San Antonio, TX 78207, USA","29.4053578,-98.53025269999999",29.4053578,-98.5302527
2404 S Calaveras St,"San Antonio, TX",San Juan Square 2 Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 11:45 a.m. to 12:15 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"2404 S Calaveras St, San Antonio, TX 78207, USA","29.40219129999999,-98.52773409999999",29.4021913,-98.5277341
