Address,City,Name,URL,Program De,School dis,Image,result_num,status,formatted_,place_id,location_t,latlong
1011 Vance Jackson Rd,"San Antonio, TX",Pepperidge Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 9:30 a.m. to 10:00 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"0",OK,"1011 Vance Jackson Rd, San Antonio, TX 78201, USA",ChIJqSeoS05eXIYRDe8AA3IcU4U,ROOFTOP,"29.4817465,-98.53527330000001"
615 Vance Jackson Rd,"San Antonio, TX",Fleetwood apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 10:10 a.m. to 10:40 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"0",OK,"615 Vance Jackson Rd, San Antonio, TX 78201, USA",ChIJvR2xvlFeXIYR5mCyxaxcVTE,ROOFTOP,"29.4783248,-98.5352827"
423 Vance Jackson Rd,"San Antonio, TX",Tradewinds Villas Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 10:50 a.m. to 11:20 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"0",OK,"423 Vance Jackson Rd, San Antonio, TX 78201, USA",ChIJ68vnplFeXIYRw3TuRlqYYJw,ROOFTOP,"29.4775938,-98.53599039999999"
315 Vance Jackson Rd,"San Antonio, TX",Tarry Towne Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 11:30 a.m. to 12:00 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"0",OK,"315 Vance Jackson Rd, San Antonio, TX 78201, USA",ChIJN0p0BVFeXIYRwoDgDLoDsOA,ROOFTOP,"29.4764242,-98.5358803"
1400 Gardina,"San Antonio, TX",Spring Wood Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 12:10 p.m. to 12:40 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"0",OK,"1400 Gardina, San Antonio, TX 78201, USA",ChIJ5-cza1BeXIYRGKK9uJluVIw,ROOFTOP,"29.4782497,-98.5376761"
1318 Gardina,"San Antonio, TX",Gardina Court Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 12:50 p.m. to 1:20 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"0",OK,"1318 Gardina, San Antonio, TX 78201, USA",ChIJxwDi0FFeXIYRGSqdfUbJhsE,ROOFTOP,"29.479522,-98.535883"
4325 NW Loop 410,"San Antonio, TX",South Point Oaks Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 9:45 a.m. to 10:15 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"0",OK,"4325 Northwest Loop 410, San Antonio, TX 78229, USA",EjM0MzI1IE5vcnRod2VzdCBMb29wIDQxMCwgU2FuIEFudG9uaW8sIFRYIDc4MjI5LCBVU0EiGxIZChQKEgmpsR3WCl5chhG1kjbXqk9CaBDlIQ,RANGE_INTERPOLATED,"29.4900749,-98.56933219999999"
3253 Hillcrest Dr,"San Antonio, TX",Woods of Brookhollow Apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 10:25 a.m. to 10:55 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"0",OK,"3253 Hillcrest Dr, San Antonio, TX 78201, USA",ChIJkyEWWhNeXIYRY925Oo6nBUQ,ROOFTOP,"29.491022,-98.556023"
3110 Hillcrest Dr # 105,"San Antonio, TX",Dakota apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 11:05 a.m. to 11:35 a.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"0",OK,"3110 Hillcrest Dr #105, San Antonio, TX 78201, USA",EjIzMTEwIEhpbGxjcmVzdCBEciAjMTA1LCBTYW4gQW50b25pbywgVFggNzgyMDEsIFVTQSIfGh0KFgoUChIJTe16XWteXIYRmZG3_ohQhkkSAzEwNQ,ROOFTOP,"29.4892884,-98.5555619"
2903 Hillcrest Dr,"San Antonio, TX",Trio apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 11:45 a.m. to 12:15 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"0",OK,"2903 Hillcrest Dr, San Antonio, TX 78201, USA",ChIJNTBksm1eXIYRy5feqF4IEnM,ROOFTOP,"29.4860833,-98.5583461"
1150 Babcock Rd,"San Antonio, TX",Spanish keys apts,https://www.saisd.net/page/article/227,Meals droped of by school bus from 12:25 a.m. to 12:55 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/saisd_bus_food_stops.png,"0",OK,"1150 Babcock Rd, Balcones Heights, TX 78201, USA",ChIJEbA8hm5eXIYRJub3SgELvnk,ROOFTOP,"29.48400699999999,-98.55819179999999"
